wikidata_code_b,educationQ20961731,['École nationale supérieure des Beaux-Arts']
Q30228752,['University of Nairobi']
Q12085408,"['Ryazan State Radio Engineering University', 'Belarusian State University of Informatics and Radioelectronics']"
Q2173737,['Tulane University']
Q4664989,"['McGill University', 'Somali National University']"
Q40735719,['University of Dar es Salaam']
Q6966376,['University of Queensland']
Q5373123,['Makerere University']
Q16335457,"['Belarusian State Academy of Arts', 'Krasnoyarsk Art School']"
Q16733664,"['Ndejje University', 'Uganda Senior Command and Staff College']"
Q20620470,['Russian Institute of Theatre Arts']
Q7156065,['Yangon Technological University']
Q22096826,"['John F. Kennedy School of Government', 'University of the West Indies']"
Q5360364,"['University of Cape Town', 'University of Namibia']"
