wikidata_code_b,educationQ2127022,['The Royal Conservatory of Music']
Q6490810,"['Harvard Law School', 'Macalester College']"
Q6389858,"['Hugh Wooding Law School', 'University of the West Indies']"
Q26998698,['Universidad Nacional Autónoma de Honduras']
Q6943308,['Somali National University']
Q20404628,['Cairo  University']
Q1930039,['University of Leeds']
Q28717107,"['Fairleigh Dickinson University', 'University of Jordan']"
Q13040091,"['University of Pristina', 'University of Graz']"
Q5269597,['University of Dhaka']
Q7449239,['University of Oklahoma']
Q13575440,['Azerbaijan State University of Culture and Arts']
Q6932609,"['Royal College, Colombo', 'University of Tokyo']"
Q31198288,['University of Aberdeen']
Q27464000,"['Yarmouk University', 'University of Jordan']"
Q6474186,"['George Washington University', 'American University of Beirut']"
Q7428681,['Beirut Arab University']
Q6943270,['Ain Shams University']
Q6832852,"['International School Bangkok', 'University of Yangon', 'Marshall University']"
